entry_date,exit_date,expiration,strike,quantity,entry_price,exit_price,pnl_pct,pnl_dollar,days_held,exit_reason,contract_cost,entry_delta,entry_spot,entry_sma200,entry_pct_above_sma,entry_std_above_sma,entry_trailing_12m_return
2015-03-02,2015-05-27,2015-06-19,65.0,1,19.4,15.2,-0.21649484536082475,-419.9999999999998,60,MH,1939.9999999999998,0.8268151229802948,68.5117416381836,63.98093662261963,0.07081492167406246,10.511457789356378,0.15089189924562518
2015-03-03,2015-05-28,2015-06-19,65.0,1,19.5,15.3,-0.2153846153846154,-420.0,60,MH,1950.0,0.8003017670408563,68.25447082519531,64.0231248474121,0.06609090055925695,9.95211008448008,0.15465601769545434
2015-03-04,2015-05-29,2015-06-19,65.0,1,18.9,15.1,-0.20105820105820105,-379.9999999999998,60,MH,1889.9999999999998,0.7773105126167175,67.93084716796875,64.06246423721313,0.06038454775063924,11.478692727802702,0.13227257077075527
2015-03-05,2015-06-01,2015-06-19,65.0,1,17.3,14.8,-0.1445086705202312,-250.0,60,MH,1730.0,0.7876982554363166,68.05532836914062,64.10131834030152,0.061683755205283484,12.284566378424524,0.13496559120070173
2015-05-08,2015-08-04,2015-09-18,68.0,1,15.1,12.0,-0.20529801324503305,-310.0,60,MH,1510.0,0.6367095974838958,68.6529541015625,65.33479782104492,0.050786967912660734,7.6751956626271785,0.14504990206897106
2015-05-11,2015-08-05,2015-09-18,68.0,1,16.7,12.4,-0.2574850299401197,-430.0,60,MH,1670.0,0.6105513141641361,68.37801361083984,65.35925605773926,0.04618714678199172,7.017743258746171,0.1387499933294556
2015-05-12,2015-08-06,2015-09-18,68.0,1,14.4,11.7,-0.1875000000000001,-270.0,60,MH,1440.0,0.5965809059313485,68.17805480957031,65.38415575027466,0.04273052128969208,6.48876898040255,0.1229899402289929
2015-05-13,2015-08-07,2015-09-18,68.0,1,16.3,11.6,-0.2883435582822086,-470.0,60,MH,1630.0,0.5967647835960496,68.17805480957031,65.4090142250061,0.04233423508017943,6.601638038998792,0.12344545765468928
2015-05-14,2015-08-10,2015-09-18,68.0,1,15.0,12.7,-0.15333333333333343,-230.0,60,MH,1500.0,0.6428490357152511,68.73628234863281,65.43814620971679,0.050400818634839126,7.53840627669267,0.13926757051187622
2015-05-15,2015-08-11,2015-09-18,68.0,1,15.2,12.1,-0.20394736842105265,-310.0,60,MH,1520.0,0.6569760036357293,68.88623809814453,65.4680690383911,0.05221123992138789,8.497021245366854,0.1516197507981507
2015-05-18,2015-08-12,2015-09-18,68.0,1,17.1,12.2,-0.28654970760233933,-490.0000000000002,60,MH,1710.0000000000002,0.6719205452759445,69.14453125,65.50529523849487,0.05555636377571043,9.322836161899989,0.15120068424893085
2015-05-19,2015-08-13,2015-09-18,68.0,1,15.4,12.0,-0.22077922077922074,-340.0,60,MH,1540.0,0.6600343533166106,68.99455261230469,65.5424303817749,0.052670036958069495,8.811676068725204,0.14448230873425683
2015-05-20,2015-08-14,2015-09-18,68.0,1,17.2,12.3,-0.2848837209302325,-490.0,60,MH,1720.0,0.6597141176746819,68.99455261230469,65.57742433547973,0.05210830268879843,8.777366079541267,0.15453943845356055
2015-05-21,2015-08-17,2015-09-18,68.0,1,16.0,12.8,-0.19999999999999996,-320.0,60,MH,1600.0,0.6813316051153554,69.1778335571289,65.61617589950562,0.05428017723980347,9.161316616219931,0.14924296075335408
2015-05-22,2015-08-18,2015-09-18,68.0,1,15.3,12.6,-0.17647058823529416,-270.0,60,MH,1530.0,0.6723834249029904,69.06121826171875,65.65430311203004,0.05189172663786077,8.747707281351909,0.1438752295381902
2015-05-26,2015-08-19,2015-09-18,68.0,1,16.4,12.1,-0.2621951219512195,-429.9999999999998,60,MH,1639.9999999999998,0.5984389962778989,68.26971435546875,65.69020214080811,0.03926783798185624,6.163988321268909,0.12495583369545349
2015-05-27,2015-08-20,2015-09-18,68.0,1,14.9,10.5,-0.2953020134228188,-440.0,60,SMA,1490.0,0.6438329533136838,68.82792663574219,65.72481586456298,0.047213685277927346,7.145603068148332,0.1275982409724723
2015-05-28,2015-08-20,2015-09-18,68.0,1,14.9,10.5,-0.2953020134228188,-440.0,59,SMA,1490.0,0.6342441973813537,68.70295715332031,65.75789873123169,0.044786382760279214,6.8399877243179565,0.12676270285640467
2015-05-29,2015-08-20,2015-09-18,68.0,1,14.8,10.5,-0.29054054054054057,-430.0,58,SMA,1480.0,0.6005764449631754,68.29470825195312,65.78959930419921,0.038077583299614574,5.892084134281103,0.11347438465358661
2015-06-01,2015-08-20,2015-09-18,68.0,1,14.6,10.5,-0.2808219178082192,-410.0,57,SMA,1460.0,0.6072046378169675,68.40299224853516,65.81978246688843,0.03924670797789783,6.489789912973137,0.1137494448002403
2015-06-02,2015-08-20,2015-09-18,68.0,1,14.6,10.5,-0.2808219178082192,-410.0,56,SMA,1460.0,0.6061845356703237,68.4113540649414,65.84852499008178,0.03892006806903631,6.498486014292216,0.1119543914340897
2015-06-03,2015-08-20,2015-09-18,68.0,1,14.8,10.5,-0.29054054054054057,-430.0,55,SMA,1480.0,0.6185784123833836,68.53633117675781,65.87801607131958,0.04035208198377348,7.6311562059500355,0.11428340180907437
2015-06-04,2015-08-20,2015-09-18,68.0,1,16.0,10.5,-0.34375,-550.0,54,SMA,1600.0,0.5679997755328798,67.9197769165039,65.90166557312011,0.030623070385749677,5.430380263964624,0.10088120519939459
